epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.003,1.60384,2.07224,2.2199,0.50422,0.5151,0.52562,0.3211,1.40198,4.72013,1.50207,0.000325397,0.000325397,0.000325397
2,4287.03,1.59658,2.11313,2.26857,0.73078,0.21147,0.21655,0.13763,1.53666,4.56236,1.52224,0.000636992,0.000636992,0.000636992
3,4583.69,1.59745,2.13605,2.24153,0.57395,0.52048,0.42948,0.2508,1.51598,8.15147,1.56118,0.000926587,0.000926587,0.000926587
4,4819.94,1.53589,2.06235,2.17351,0.59327,0.39722,0.37455,0.25367,1.28174,4.61081,1.33769,0.000901,0.000901,0.000901
5,5061.6,1.47375,1.89205,2.1238,0.88014,0.32222,0.29458,0.21542,1.2965,3.75113,1.41485,0.000868,0.000868,0.000868
6,5320.75,1.42376,1.8146,2.05953,0.77792,0.23415,0.21299,0.14788,1.21045,3.55869,1.27183,0.000835,0.000835,0.000835
7,5576.35,1.3787,1.76705,2.00424,0.80209,0.2188,0.20921,0.14559,1.15495,3.70527,1.2621,0.000802,0.000802,0.000802
8,5822.2,1.32245,1.62767,1.9258,0.76017,0.2885,0.21427,0.15088,1.06792,3.42312,1.22905,0.000769,0.000769,0.000769
9,6071.86,1.274,1.60034,1.92412,0.82138,0.23226,0.21635,0.1442,0.99548,3.57823,1.154,0.000736,0.000736,0.000736
10,6328.34,1.24752,1.5595,1.88595,0.83345,0.16389,0.19381,0.13651,0.91078,2.88878,1.10243,0.000703,0.000703,0.000703
11,6582.49,1.21723,1.48695,1.8396,0.81826,0.31766,0.29695,0.21314,0.88542,3.03345,1.07308,0.00067,0.00067,0.00067
12,6878.29,1.13909,1.35396,1.75505,0.76357,0.19722,0.19938,0.14363,0.93425,2.49211,1.12979,0.000637,0.000637,0.000637
13,7177.63,1.15266,1.40258,1.81524,0.87147,0.15861,0.1911,0.14439,0.92509,2.45142,1.07631,0.000604,0.000604,0.000604
14,7472.92,1.16966,1.42108,1.76975,0.93961,0.23889,0.24383,0.16793,0.82256,2.56134,1.0403,0.000571,0.000571,0.000571
15,7783.24,1.09497,1.26283,1.71258,0.74579,0.14918,0.15944,0.11244,0.90742,2.43554,1.07522,0.000538,0.000538,0.000538
16,8098.78,1.10033,1.25496,1.71952,0.83477,0.16389,0.16088,0.13026,0.80726,2.3707,1.02443,0.000505,0.000505,0.000505
17,8436.49,1.0627,1.24881,1.68866,0.55619,0.12222,0.12694,0.09795,0.95626,2.38552,1.06572,0.000472,0.000472,0.000472
18,8788.08,1.02921,1.15703,1.65085,0.85479,0.15556,0.14228,0.09055,0.74892,2.20743,0.95935,0.000439,0.000439,0.000439
19,9123.92,1.0372,1.22201,1.65749,0.93714,0.12222,0.12729,0.09581,0.70564,1.97589,0.91522,0.000406,0.000406,0.000406
20,9461.64,1.00099,1.10511,1.59913,0.85106,0.19722,0.22199,0.15184,0.76853,2.0437,0.9509,0.000373,0.000373,0.000373
21,9826.53,0.76386,1.01745,1.43484,0.90529,0.19697,0.21744,0.17587,0.69124,1.68567,0.91101,0.00034,0.00034,0.00034
22,10202.1,0.73278,0.97048,1.43024,0.73008,0.12124,0.13535,0.10396,0.66959,1.75048,0.88104,0.000307,0.000307,0.000307
23,10536.2,0.6573,0.81178,1.34815,0.89487,0.15377,0.16654,0.13858,0.6607,1.6662,0.88461,0.000274,0.000274,0.000274
24,10889.9,0.61857,0.76782,1.32114,0.97132,0.32222,0.33125,0.26028,0.7745,1.68272,0.88041,0.000241,0.000241,0.000241
25,11222.2,0.62921,0.80695,1.35201,0.94255,0.19722,0.22197,0.20228,0.56017,1.32864,0.79251,0.000208,0.000208,0.000208
26,11563.6,0.57708,0.68918,1.25524,0.91101,0.19632,0.2208,0.1867,0.58337,1.42165,0.79529,0.000175,0.000175,0.000175
27,11920.6,0.64953,0.86108,1.36725,0.89718,0.12092,0.14196,0.12392,0.56819,1.56594,0.80237,0.000142,0.000142,0.000142
28,12273.3,0.53452,0.6608,1.19717,0.93196,0.1781,0.22955,0.18704,0.51597,1.37968,0.75051,0.000109,0.000109,0.000109
29,12658.7,0.5591,0.7174,1.24508,0.66027,0.05556,0.08347,0.07512,0.52496,1.25598,0.74178,7.6e-05,7.6e-05,7.6e-05
30,13042.7,0.55484,0.68563,1.23632,0.88004,0.08889,0.1164,0.08659,0.47941,1.33341,0.73517,4.3e-05,4.3e-05,4.3e-05
